"odor","[`odɚ]","香味；臭味","A distinctive smell, especially one that is unpleasant or noticeable.","The odor of fresh flowers filled the room.","'Odor' comes from Latin 'odor' meaning 'smell'. It can refer to both pleasant and unpleasant scents.","prefix: none, root: odor, suffix: none","smell, scent","fragrance, aroma","聯想法：'Odor' 讀起來像 '喔，的味道'，可以聯想到某種特殊的氣味。"
"olive","[`ɑlɪv]","橄欖","A small, oval fruit with a hard pit, often used for oil or eating.","The chef used olive oil in the salad dressing.","The word 'olive' originates from Latin 'oliva', referring to the fruit and the tree.","prefix: none, root: olive, suffix: none","none","none","聯想法：'Olive' 的音讀起來像 '阿利佛'，可以聯想到橄欖和希臘文化。"
"opponent","[ə`ponənt]","對手","Someone who competes against or opposes another in a contest or debate.","The chess player defeated his opponent in just 10 moves.","From Latin 'opponere', meaning 'to oppose', 'opponent' implies someone in opposition.","prefix: op- (against), root: pon (place), suffix: -ent","rival, adversary","supporter, ally","聯想法：'Opponent' 可以聯想成 'op- (對立)' + 'pon (擺放)'，即對立面上的人。"
"optimism","[`ɑptəmɪzəm]","樂觀主義","The belief that good things will happen or that outcomes will be positive.","Her optimism helped her through difficult times.","From Latin 'optimus', meaning 'best'. Optimism is the tendency to see the best in situations.","prefix: opti- (best), root: none, suffix: -ism (belief)","hopefulness, positivity","pessimism","聯想法：'Optimism' 可以聯想到 'optimum (最佳的)'，即總是期望最好的結果。"
"orchard","[`ɔrtʃɚd]","果園","A piece of land planted with fruit trees.","The farmer spent his days working in the apple orchard.","'Orchard' comes from Old English 'ortgeard', where 'ort' means plant and 'geard' means yard or enclosure.","prefix: none, root: orch (plant), suffix: -ard (place)","grove","none","聯想法：'Orchard' 可以聯想到 'orange' 和 'yard'，形象地代表果園。"
"organizer","[`ɔrgə͵naɪzɚ]","組織者","A person who arranges or coordinates an event or activity.","She was the lead organizer for the charity event.","From the root 'organ', meaning a tool or instrument, plus the suffix '-izer', indicating someone who performs an action.","prefix: none, root: organ, suffix: -izer","coordinator, planner","participant","聯想法：'Organizer' 可以聯想到 'organize'（組織），即負責組織活動的人。"
"orient","[`orɪənt]","東方","The eastern part of the world, especially Asia.","The travelers were excited to explore the Orient.","From Latin 'orient-', meaning 'rising (of the sun)', it refers to the east where the sun rises.","prefix: none, root: orient, suffix: none","east","occident","聯想法：'Orient' 聯想到 'oriental'（東方的），東方的日出。"
"oriental","[͵orɪ`ɛnt!]","東方的","Relating to the East, particularly Asia.","The museum had a collection of oriental art.","Derived from 'orient', which refers to the eastern part of the world.","prefix: orient (east), root: none, suffix: -al (relating to)","eastern","western","聯想法：'Oriental' 可以聯想到 'orient' 和 'east'，即與東方相關的。"
"ornament","[`ɔrnəmənt]","裝飾品","An object used to decorate or embellish something, typically for aesthetic purposes.","The Christmas tree was covered in beautiful ornaments.","From Latin 'ornamentum', meaning 'equipment, adornment'.","prefix: none, root: ornament, suffix: none","decoration, embellishment","none","聯想法：'Ornament' 可以聯想到 'ornate'（華麗的），表示用來裝飾的物品。"
"orphanage","[`ɔrfənɪdʒ]","孤兒","A home for children without parents.","The child was raised in an orphanage.","From 'orphan', meaning a child without parents, plus the suffix '-age', indicating a place or state.","prefix: none, root: orphan, suffix: -age","none","none","聯想法：'Orphanage' 可以聯想到 'orphan'（孤兒），表示孤兒生活的地方。"
"ostrich","[`ɑstrɪtʃ]","鴕鳥","A large flightless bird native to Africa, known for its speed.","Ostriches can run up to 70 km/h.","From Greek 'strouthos', meaning 'sparrow' but eventually referring to the large bird.","prefix: none, root: ostrich, suffix: none","none","none","聯想法：'Ostrich' 可以聯想到 'ocean' 和 'stritch'，兩者合併表示鴕鳥這種巨大鳥類。"
"ounce","[aʊns]","盎司","A unit of weight equal to 1/16 of a pound.","The recipe called for two ounces of flour.","From Latin 'uncia', meaning a twelfth part. Used as a measurement of weight.","prefix: none, root: ounce, suffix: none","none","none","聯想法：'Ounce' 可以聯想到 'ounce' 的音像 'ounce of gold'，容易記住單位的概念。"
"outdo","[͵aʊt`du]","勝過；超越","To perform better than someone else.","She always tries to outdo her classmates in academics.","Outdo combines 'out-' meaning beyond, and 'do', meaning to perform or accomplish.","prefix: out- (beyond), root: do, suffix: none","surpass, excel","fall behind","聯想法：'Outdo' 聯想到 'out'（超過）+ 'do'（做），表示做得比別人更好。"
"outgoing","[`aʊt͵goɪŋ]","外向的；外出的","Sociable and confident in social situations; leaving a place.","Her outgoing personality makes her popular.","From 'out-' meaning outside or beyond, and 'going', meaning in motion.","prefix: out- (beyond), root: going, suffix: none","sociable, extroverted","shy, introverted","聯想法：'Outgoing' 聯想到 '出去' 和 '走'，即向外走的人，代表外向的人。"
