"word","pronunciation","Chinese definition","definition","example sentence","insights","composition","synonyms","antonyms","拼字聯想法"
"torture","/ˈtɔːr.tʃər/","折磨","severe physical or mental suffering","The captives endured hours of torture.","From Latin 'torquere,' meaning to twist.","no prefix, root: tort, suffix: -ure","agony, torment","comfort, relief","聯想到使人痛苦的折磨方式。"
"tournament","/ˈtʊr.nə.mənt/","比賽","a series of games to determine a winner","He won the chess tournament.","From Old French 'tornei,' meaning a contest or fight.","no prefix, root: tourn, suffix: -ament","competition, contest","-","聯想到競技場中的一連串比賽。"
"toxic","/ˈtɒk.sɪk/","有毒的","poisonous or harmful","The factory emitted toxic gases.","From Greek 'toxikon,' meaning poison for arrows.","no prefix, root: tox, suffix: -ic","poisonous, harmful","harmless, safe","聯想到有毒物質帶來的危害。"
"trademark","/ˈtreɪd.mɑːrk/","商標","a symbol or word representing a company","Nike's trademark is well-known globally.","From 'trade,' meaning commerce, and 'mark,' meaning symbol.","root: trade, root: mark","brand, logo","generic","聯想到企業的專屬標誌。"
"traitor","/ˈtreɪ.tər/","叛徒","a person who betrays a friend, country, or principle","He was labeled a traitor to his country.","From Old French 'traitre,' meaning betrayer.","no prefix, root: traitor","betrayer, turncoat","loyalist, patriot","聯想到背叛自己信仰或國家的人。"
"tramp","/træmp/","流浪者；跋涉","a person who travels aimlessly or to walk heavily","The old tramp wandered through the city.","From Middle Low German 'trampen,' meaning to stamp or trample.","no prefix, root: tramp","wanderer, vagabond","resident","聯想到無家可歸、四處遊蕩的人。"
"trample","/ˈtræm.pəl/","踩踏","to step heavily, causing damage","The crowd trampled the flowers.","From Middle Dutch 'trampelen,' meaning to tread on.","no prefix, root: trample","crush, stomp","-","聯想到用力踩壞或破壞。"
"transparent","/trænsˈpær.ənt/","透明的","allowing light to pass through; clear","The glass is transparent.","From Latin 'transparentem,' meaning showing through.","prefix: trans (through), root: parent","clear, see-through","opaque","聯想到清晰可見的透明物體。"
"treasury","/ˈtrɛʒ.ər.i/","國庫；財政部","a place where money is kept or a government department","The country's treasury is responsible for managing funds.","From Latin 'thesaurarium,' meaning a storehouse.","no prefix, root: treas, suffix: -ury","fund, bank","-","聯想到政府或公司財物管理的場所。"
"treaty","/ˈtriː.ti/","條約","a formal agreement between countries","The nations signed a peace treaty.","From Latin 'tractatus,' meaning discussion or negotiation.","no prefix, root: treat, suffix: -y","agreement, pact","disagreement, conflict","聯想到各國簽訂的正式協議或條約。"
