"word","pronunciation","Chinese definition","definition","example sentence","synonyms","antonyms","commonly confused words"
"comet","/ˈkɒm.ɪt/","彗星","A celestial object made of ice, dust, and gas that orbits the sun, often with a visible tail.","Halley's Comet is visible from Earth every 75 years.","meteor","-","-"
"commentator","/ˈkɒm.ən.teɪ.tər/","評論員","A person who discusses and explains events, especially on TV, radio, or in writing.","The sports commentator provided insights during the game.","analyst, critic","-","-"
"commission","/kəˈmɪʃ.ən/","委員會；佣金","A group of people given authority to perform a task, or a fee paid to an agent for services.","The artist received a commission to paint a portrait.","committee, fee","-","-"
"commodity","/kəˈmɒd.ɪ.ti/","商品","A raw material or primary product that can be bought and sold.","Oil is a valuable commodity in the global market.","goods, product","-","-"
"commonplace","/ˈkɒm.ən.pleɪs/","司空見慣的事","Something that occurs frequently and is unremarkable.","Smartphones are now commonplace in society.","routine, ordinary","extraordinary","-"
"communism","/ˈkɒm.jʊ.nɪ.zəm/","共產主義","A political ideology that advocates for a classless society and state ownership of resources.","Communism was a dominant ideology in the 20th century.","socialism","capitalism","-"
"communist","/ˈkɒm.jʊ.nɪst/","共產黨員","A person who supports or believes in the principles of communism.","He was a member of the communist party.","-","capitalist","-"
"commute","/kəˈmjuːt/","通勤","To travel regularly between home and work.","She commutes to the city by train every day.","travel","-","-"
"commuter","/kəˈmjuː.tər/","通勤者","A person who travels regularly between home and work.","The train was full of commuters heading to work.","traveler","-","-"
"compact","/ˈkɒm.pækt/","小巧的","Small, efficient in use of space or design.","He bought a compact car for city driving.","small, dense","bulky","-"
"compassion","/kəmˈpæʃ.ən/","同情","A feeling of deep sympathy and concern for others.","She showed great compassion for the homeless.","empathy, kindness","indifference","-"
"compassionate","/kəmˈpæʃ.ən.ɪt/","富有同情心的","Showing or having compassion.","The compassionate nurse cared for the patients with patience.","caring, sympathetic","cruel","-"
"compel","/kəmˈpel/","強迫","To force or strongly encourage someone to do something.","The law compels drivers to wear seatbelts.","force, coerce","dissuade","-"
"compliment","/ˈkɒm.plɪ.mənt/","讚美","A polite expression of praise or admiration.","She gave him a compliment on his new haircut.","praise, flattery","criticism","complement"
"compose","/kəmˈpəʊz/","作曲；組成","To create or arrange (music, writing, etc.) or to make up the parts of something.","Beethoven composed many famous symphonies.","create, form","-","-"
"comprehend","/ˌkɒm.prɪˈhend/","理解","To understand something fully.","He couldn't comprehend the complex instructions.","understand, grasp","misunderstand","-"
"comprehension","/ˌkɒm.prɪˈhen.ʃən/","理解","The ability to understand something.","Her reading comprehension has improved this year.","understanding","misunderstanding","-"
"comprehensive","/ˌkɒm.prɪˈhen.sɪv/","全面的","Covering all aspects or including everything necessary.","The report was comprehensive and covered all the main points.","complete, thorough","incomplete","-"
"compromise","/ˈkɒm.prə.maɪz/","妥協","An agreement in which each side makes concessions.","They reached a compromise on the issue after hours of discussion.","agreement, concession","disagreement","-"
"compute","/kəmˈpjuːt/","計算","To calculate or work out an answer mathematically.","The computer computes complex equations in seconds.","calculate, determine","-","-"
"computerize","/kəmˈpjuː.tər.aɪz/","電腦化","To convert a process or system to be operated or controlled by computers.","The company is planning to computerize its filing system.","digitize, automate","-","-"
"comrade","/ˈkɒm.reɪd/","同志","A companion who shares one's activities or is a fellow member of an organization, especially in a military or political context.","He and his comrades fought bravely in the war.","companion, ally","enemy","-"
"conceal","/kənˈsiːl/","隱藏","To hide something from view or knowledge.","He tried to conceal the evidence from the police.","hide, cover","reveal","-"
"conceive","/kənˈsiːv/","構想","To imagine or come up with a plan or idea.","She conceived a new project that would help the community.","imagine, create","-","perceive"
"condemn","/kənˈdem/","譴責","To express strong disapproval of something.","The government condemned the violence during the protests.","denounce, criticize","praise","-"
"condense","/kənˈdens/","濃縮","To make something more concentrated or to shorten something.","He condensed the long report into a one-page summary.","compress, shorten","expand","-"
"confession","/kənˈfeʃ.ən/","自白","An acknowledgment or admission of wrongdoing.","The thief made a full confession to the police.","admission, disclosure","denial","-"
"confront","/kənˈfrʌnt/","面對","To face a difficult situation or opponent directly.","She confronted him about his dishonesty.","challenge, face","avoid","-"
"consent","/kənˈsent/","同意","To give permission or agree to something.","They consented to the terms of the contract.","agree, approve","refuse","-"
"conserve","/kənˈsɜːv/","保存","To protect something from loss or harm, especially the environment or resources.","We need to conserve water during the drought.","preserve, protect","waste","-"
